Arquivo,Linha,Coluna,Padrão,Match,Severidade,Crítico,Descrição,Sugestão
src/components/navigation/Sidebar.tsx,237,99,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/navigation/Sidebar.tsx,237,87,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/navigation/Sidebar.tsx,265,26,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/navigation/Sidebar.tsx,265,14,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/player/FullscreenKaraoke.tsx,240,45,text-white-opacity,text-white/30,ALTA,Sim,Texto branco com opacidade baixa,Usar cor sólida com contraste adequado
src/components/player/FullscreenKaraoke.tsx,278,45,text-white-opacity,text-white/30,ALTA,Sim,Texto branco com opacidade baixa,Usar cor sólida com contraste adequado
src/components/player/KaraokeLyrics.tsx,63,32,opacity-40,opacity-40,ALTA,Sim,Opacidade 40% causa baixo contraste severo,Usar cor com contraste adequado em vez de opacidade
src/components/player/ThemedPlayer.tsx,147,57,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/player/ThemedPlayer.tsx,147,45,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/player/ThemedPlayer.tsx,209,73,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/player/ThemedPlayer.tsx,209,61,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/player/ThemedPlayer.tsx,270,28,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/player/ThemedPlayer.tsx,270,16,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/player/ThemedPlayer.tsx,337,28,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/player/ThemedPlayer.tsx,337,16,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/player/ThemedPlayer.tsx,373,49,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/player/ThemedPlayer.tsx,373,37,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/player/ThemedPlayer.tsx,386,44,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/player/ThemedPlayer.tsx,386,32,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/player/ThemedPlayer.tsx,423,43,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/player/ThemedPlayer.tsx,423,31,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/player/ThemedPlayer.tsx,511,45,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/player/ThemedPlayer.tsx,511,33,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/player/ThemedPlayer.tsx,596,49,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/player/ThemedPlayer.tsx,596,37,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/player/ThemedPlayer.tsx,640,36,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/player/ThemedPlayer.tsx,640,24,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/player/ThemedPlayer.tsx,650,55,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/player/ThemedPlayer.tsx,650,43,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/player/ThemedPlayer.tsx,659,55,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/player/ThemedPlayer.tsx,659,43,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/player/ThemedPlayer.tsx,669,78,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/player/ThemedPlayer.tsx,669,66,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/player/UserBadge.tsx,84,33,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/player/VoiceControlButton.tsx,171,37,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/CodeDiffViewer.tsx,143,38,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/CodeDiffViewer.tsx,157,38,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/CodePreview.tsx,56,38,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/CodePreview.tsx,60,36,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/LogoDownload.tsx,186,47,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/LogoDownload.tsx,186,35,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/ui/NotificationFiltersPopover.tsx,237,45,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/NotificationFiltersPopover.tsx,264,45,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/NotificationsDropdown.tsx,66,101,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/NotificationsDropdown.tsx,74,35,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/NotificationsDropdown.tsx,78,33,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/NotificationsDropdown.tsx,99,32,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/NotificationsDropdown.tsx,189,40,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/NotificationsDropdown.tsx,202,38,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/NotificationsDropdown.tsx,220,53,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/NotificationsDropdown.tsx,225,67,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/NotificationsDropdown.tsx,226,37,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/TSiLogo.tsx,209,22,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/TSiLogo.tsx,209,10,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/ui/calendar.tsx,29,21,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/calendar.tsx,38,24,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/calendar.tsx,38,98,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/calendar.tsx,39,24,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/chart.tsx,172,98,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/chart.tsx,208,42,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/chart.tsx,256,86,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/command.tsx,30,121,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/command.tsx,47,91,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/command.tsx,84,201,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/command.tsx,118,63,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/dialog.tsx,45,174,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/menubar.tsx,186,63,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/permission-toggle.tsx,45,36,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/sonner.tsx,17,40,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/sonner.tsx,19,65,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/specialized-cards.tsx,77,45,text-gray-600,text-gray-600,ALTA,Sim,Cinza 600 (#4b5563) tem baixo contraste em fundo escuro,Usar text-gray-400 ou mais claro em temas escuros
src/components/ui/textarea.tsx,11,136,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/themed/index.tsx,232,82,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/themed/index.tsx,232,70,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/ui/themed/index.tsx,241,62,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/themed/index.tsx,254,83,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/themed/index.tsx,254,71,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/ui/themed/index.tsx,332,50,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/themed/index.tsx,332,38,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/ui/themed/index.tsx,487,43,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/ui/themed/index.tsx,487,31,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/ui/toggle.tsx,8,137,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/A11yDashboard.tsx,240,51,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/A11yDashboard.tsx,240,39,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/pages/dashboards/A11yDashboard.tsx,326,49,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/A11yDashboard.tsx,326,37,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/pages/dashboards/GitHubDashboard.tsx,107,31,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/GitHubDashboard.tsx,330,53,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/HealthDashboard.tsx,57,31,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/HealthDashboard.tsx,95,35,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/HealthDashboard.tsx,204,38,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/HealthDashboard.tsx,208,38,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/HealthDashboard.tsx,226,74,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/HealthDashboard.tsx,257,37,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/HealthDashboard.tsx,307,37,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/HealthDashboard.tsx,354,45,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/JukeboxStatsDashboard.tsx,56,37,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/JukeboxStatsDashboard.tsx,113,45,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/JukeboxStatsDashboard.tsx,167,31,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/JukeboxStatsDashboard.tsx,200,31,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/JukeboxStatsDashboard.tsx,232,58,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/JukeboxStatsDashboard.tsx,243,53,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/JukeboxStatsDashboard.tsx,250,47,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/JukeboxStatsDashboard.tsx,261,31,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/JukeboxStatsDashboard.tsx,290,58,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/JukeboxStatsDashboard.tsx,312,50,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/JukeboxStatsDashboard.tsx,320,31,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/JukeboxStatsDashboard.tsx,358,51,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/JukeboxStatsDashboard.tsx,365,49,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/JukeboxStatsDashboard.tsx,369,50,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/JukeboxStatsDashboard.tsx,379,29,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/KioskMonitorDashboard.tsx,51,27,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/KioskMonitorDashboard.tsx,71,25,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/KioskMonitorDashboard.tsx,143,53,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/KioskMonitorDashboard.tsx,143,41,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/pages/dashboards/KioskMonitorDashboard.tsx,150,66,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/KioskMonitorDashboard.tsx,153,54,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/KioskMonitorDashboard.tsx,205,54,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/KioskMonitorDashboard.tsx,241,35,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/KioskMonitorDashboard.tsx,283,35,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/KioskMonitorDashboard.tsx,292,33,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/KioskMonitorDashboard.tsx,297,47,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/pages/dashboards/KioskMonitorDashboard.tsx,326,27,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
